period_number,period_label,retention_rate,churn_rate,prev_retention,period_churn
0,Acquisition,100.000000,0.000000,NULL,NULL
1,"Month 0-1",5.452000,94.548000,100.000000,94.548000
2,"Month 1-2",0.337778,99.662222,5.452000,5.114222
3,"Month 2-3",0.250000,99.750000,0.337778,0.087778
4,"Month 3-4",0.288750,99.711250,0.250000,-0.038750
5,"Month 4-5",0.230667,99.769333,0.288750,0.058083
6,"Month 5-6",0.270000,99.730000,0.230667,-0.039333
7,"Month 6-7",0.211538,99.788462,0.270000,0.058462
8,"Month 7-8",0.207500,99.792500,0.211538,0.004038
9,"Month 8-9",0.191818,99.808182,0.207500,0.015682
10,"Month 9-10",0.265000,99.735000,0.191818,-0.073182
11,"Month 10-11",0.231000,99.769000,0.265000,0.034000
12,"Month 11-12",0.212500,99.787500,0.231000,0.018500
